iter	Logloss
0	0.5829015072
1	0.5462888537
2	0.5257364586
3	0.5187956133
4	0.4994683644
5	0.4977253354
6	0.4940295367
7	0.4791708352
8	0.478540809
9	0.4697411184
10	0.4426373582
11	0.4282313707
12	0.4232887984
13	0.4202123838
14	0.418598846
15	0.4057177347
16	0.4008059333
17	0.4003249812
18	0.3908570417
19	0.3857170086
20	0.3851654187
21	0.384020109
22	0.3832700945
23	0.3825839893
24	0.3791101112
25	0.3756992939
26	0.3677035879
27	0.3565591819
28	0.343888286
29	0.3410446768
30	0.3386532998
31	0.3360030396
32	0.3301204551
33	0.3297537706
34	0.3141251989
35	0.3132114079
36	0.3069813602
37	0.2973781663
38	0.2867403041
39	0.2741278436
40	0.2633330901
41	0.2573810681
42	0.2566807308
43	0.2468442401
44	0.2465408346
45	0.2461006181
46	0.2459285279
47	0.2397599993
48	0.2331538216
49	0.2326392828
