iter	Passed	Remaining
0	1	89
1	10	254
2	16	251
3	19	226
4	22	206
5	25	186
6	28	177
7	33	173
8	42	191
9	44	178
10	47	168
11	49	158
12	53	151
13	55	143
14	59	139
15	63	135
16	67	130
17	70	125
18	74	120
19	76	115
20	79	109
21	82	104
22	85	99
23	87	95
24	90	90
25	93	86
26	96	82
27	100	79
28	103	75
29	106	71
30	109	66
31	111	62
32	114	59
33	117	55
34	120	51
35	123	47
36	126	44
37	129	40
38	132	37
39	135	33
40	138	30
41	140	26
42	143	23
43	145	19
44	147	16
45	149	12
46	151	9
47	154	6
48	156	3
49	158	0
